iso3,recurso,q_1950_twh,q_2019_twh,reservas_twh,urr_proxy_twh,x_1950_proxy,x_2019_proxy,r_linealizacion,urr_linealizacion_twh,r2_linealizacion,r_condicional_urr_proxy,anio_pico_produccion,prod_pico_twh
OMN,gas,0.0,5572.561,6974.68545,12547.246449999999,0.0,0.44412620906159056,0.16339159193538677,7972.2653680744015,0.8656609684765255,0.11928318140365736,2019,366.902
PAK,gas,0.0,8952.517,4130.69688,13083.21388,0.0,0.6842750628487012,0.07967651218537415,20139.21650056513,0.570698198749066,0.09571832470083712,2012,365.972
PER,gas,4.524,1621.917,2884.7052000000003,4506.6222,0.0010038560587572662,0.35989637649235384,0.14143798770135352,5916.221470441272,0.08186051924794115,0.041618675474109086,2016,140.184
PHL,gas,0.0,534.184,,,,,0.23351950536752647,643.5291462248955,0.8906864029673219,,2013,37.633
PNG,gas,0.0,660.655,1842.4013400000001,2503.05634,0.0,0.2639393246737706,,,,,2016,119.242
POL,gas,95.819,2494.678,756.34542,3251.02342,0.02947348807471833,0.767351592933157,0.09043550203112895,2549.1082449624428,0.6720314531664753,0.06304200748400729,1978,69.335
QAT,gas,0.0,23270.472999999998,258173.47449000002,281443.94749000005,0.0,0.08268244248111542,0.17189812186222803,43542.66421246149,0.7758209190788136,0.1299523958378858,2019,1771.525
ROU,gas,465.981,12919.241,825.53229,13744.77329,0.03390241440642926,0.939938457144243,0.09944456696486907,13000.945136686056,0.9665159862067141,0.08840574222388485,1982,344.524
RUS,gas,402.5355541289048,241436.431642496,393106.39758,634542.829222496,0.0006343709763801614,0.38048878739726294,0.09577472428224167,285075.2625720345,0.838458235420916,0.062376106379763055,2019,6790.269
SAU,gas,0.0,22414.117,62640.284850000004,85054.40185,0.0,0.26352683121008863,0.0850830443001705,52456.9288960168,0.8913730656923076,0.07722269351892358,2018,1121.0
SYR,gas,0.0,1413.859,2811.5408700000003,4225.39987,0.0,0.3346095147203192,0.17382290403616518,1581.0053047782733,0.9314920766408711,0.10498275649921698,2010,84.259
THA,gas,0.0,7644.427,1497.6183600000002,9142.04536,0.0,0.8361834468080127,0.12252247452870461,11947.832308826597,0.8732755451211637,0.15872055754494685,2014,390.92
TKM,gas,70.26173066344863,26426.673958491006,142364.28375,168790.957708491,0.0004162647787376949,0.15656451220645937,0.10031163798346099,27612.64532230105,0.6126303849393013,0.0340194462032394,1989,850.824
TLS,gas,0.0,935.87,,,,,0.281364961645314,1147.294822078179,0.7992587762363087,,2015,84.151
TTO,gas,78.693,8038.244,3030.82452,11069.06852,0.007109270292962284,0.726189740850931,0.11331368208942004,13840.371514095383,0.5960349467087926,0.07058858789175522,2010,402.93
TUN,gas,0.012,623.175,,,,,0.17711769445123038,672.1154288813515,0.9538661932467487,,2008,33.258
TWN,gas,2.771,574.234,,,,,0.14839322968567276,551.9321464533025,0.8417343581009954,,1990,24.57
UKR,gas,32.43692819742713,10733.153413915665,11421.69507,22154.848483915666,0.0014641006559343527,0.48446070040640954,0.10735180656008922,10886.586632668568,0.7583493753541904,0.04427410556752573,1985,405.821
USA,gas,27669.613999999998,379325.182,132079.9329,511405.1149,0.054105078721026295,0.7417313025392269,0.058120456671653456,442319.7855367543,0.6583460065954312,0.04547543818624588,2019,9281.11
UZB,gas,31.012475640650337,20415.07929978876,8847.96444,29263.043739788758,0.0010597829780257236,0.6976403234510604,0.08502797599864362,27710.29654757898,0.9167356786722298,0.08255358865424556,2008,610.225
VEN,gas,150.328,13667.103,65525.19939,79192.30239,0.0018982653043685552,0.1725812053385357,0.06833753739207994,19990.527377390714,0.9272703828322474,0.05299891406468849,2017,386.054
VNM,gas,0.0,1461.1399999999999,6760.94931,8222.08931,0.0,0.177709088883638,0.20738285123969077,2003.8781692674313,0.939015604597599,0.128901426660723,2015,102.869
YEM,gas,0.0,538.2049999999999,2783.48931,3321.69431,0.0,0.16202725168891294,,,,0.16046738386580442,2013,115.553
AUS,coal,4087.283,96318.703,409713.27,506031.973,0.008077124012082928,0.19034114075633715,0.05996550069545194,263723.08173596987,0.9186975902948367,0.05374279909839148,2019,3660.434
AUT,coal,3857.11,4578.124,,,,,0.16922472612703948,4286.3424189624,0.746638884766094,,1913,239.537
BEL,coal,8893.453,13178.338,,,,,0.05982311189134124,13628.228706346354,0.9503898931631369,,1952,226.331
BGR,coal,335.928,5176.805,9086.7516,14263.5566,0.023551489254790774,0.3629392826190349,0.09283350308324385,4962.299039917595,0.8186247819650887,0.022396267542128714,1970,130.492
BIH,coal,0.0,655.877,,,,,0.17625762972745618,747.218432644783,0.6949083113524076,,2001,32.119
BRA,coal,199.365,2287.471,25445.277000000002,27732.748000000003,0.007188793551940831,0.08248266634089055,0.07495031480473058,2412.3044026691596,0.6891212616481425,0.01941416963321719,1979,87.232
CAN,coal,5636.094,26106.282,36169.7652,62276.0472,0.09050179408303873,0.4192026175996604,0.023014443097641415,354631.01603213215,0.0036115206091112953,0.029800945853514785,1997,527.206
CHL,coal,596.642,1266.15,,,,,0.05289004823574703,1258.9271719332016,0.884744965148451,,2014,21.252
CHN,coal,5689.093,521017.314,634753.77,1155771.084,0.004922335468292439,0.4507962876150309,0.05507859754395261,4985222.2262103725,0.051266114067062676,0.06449925881330307,2019,22154.439
COL,coal,69.774,15049.055,47073.588,62122.643000000004,0.0011231653489050682,0.24224750064159375,0.09402465853101595,33032.7610102188,0.8396514480749543,0.08568037594614794,2017,733.386
CZE,coal,8915.438471408557,35745.41576457534,4605.8289,40351.24466457534,0.22094581085463982,0.8858565841453835,0.044380190928685836,42204.03921986179,0.8318499841728315,0.04697907441762137,1979,605.8396986036875
DEU,coal,51932.115,140515.71,155769.894,296285.604,0.17527721326615653,0.4742576355481652,0.04247640246808601,157007.64519122677,0.8670523861616093,0.01577877510974837,1964,2014.4
ESP,coal,2216.521,8788.04,2662.107,11450.147,0.19358013482272324,0.7675045569283958,0.049484272642611404,9967.122448731434,0.9017255004716273,0.038991750336329345,1979,156.744
FRA,coal,16500.718,29108.219,,,,,0.06071068309316574,29865.853304147266,0.9313978310777857,,1958,481.229
GBR,coal,81872.482,131477.365,1590.9839999999997,133068.349,0.6152663846456832,0.988043858573762,0.055510229059755035,131986.15401695177,0.9081971713343273,0.05943910896659916,1913,1999.489
GRC,coal,8.933,3406.545,11590.458,14997.003,0.0005956523446717987,0.22714838424717257,0.10432224013058285,3925.345234232879,0.964526200938241,0.06109551969766652,2002,99.81
HUN,coal,1468.724,5699.354,6411.7353,12111.0893,0.1212710073898968,0.4705897098785326,0.05006014988473731,6391.3716111796975,0.7577321859965992,0.017130638395917906,1964,112.147
IDN,coal,346.767,41122.733,107526.4443,148649.1773,0.00233278788553376,0.2766428563341938,0.15459312035514652,81751.82112761094,0.8698019500143773,0.1387305015240263,2019,3566.628
IND,coal,6593.801,96205.403,408736.35000000003,504941.753,0.013058537862682946,0.19052772409573349,0.0409944341886878,3898331.568991193,0.007918899909348421,0.043584461386905825,2018,3555.345
ITA,coal,332.641,707.448,,,,,0.09682338124453599,678.1589443760919,0.605252992130491,,1942,29.16
